# Disease ID,Gene ID,edge_weight
C0036095,1462,1
C0036095,1612,1
C0036095,182,1
C0036095,2011,1
C0036095,2019,1
C0036095,2175,1
C0036095,2195,1
C0036095,23209,1
C0036095,23543,1
C0036095,23619,1
C0036095,259266,1
C0036095,2620,1
C0036095,2621,1
C0036095,27344,1
C0036095,2982,1
C0036095,3485,1
C0036095,358,1
C0036095,3691,1
C0036095,3852,1
C0036095,3866,1
C0036095,4082,1
C0036095,50805,1
C0036095,51477,1
C0036095,51514,1
C0036095,51659,1
C0036095,5174,1
C0036095,5176,1
C0036095,53335,1
C0036095,54441,1
C0036095,54531,1
C0036095,5587,1
C0036095,57419,1
C0036095,5834,1
C0036095,595,1
C0036095,6484,1
C0036095,6651,1
C0036095,6659,1
C0036095,6664,1
C0036095,7153,1
C0036095,80303,1
C0036095,81029,1
C0036095,81831,1
C0036095,9454,1
C0036095,9700,1
C0036095,999,1
C0033941,135,1
C0033941,1636,1
C0033941,207,1
C0033941,2099,1
C0033941,2912,1
C0033941,2950,1
C0033941,3350,1
C0033941,3362,1
C0033941,4886,1
C0033941,4988,1
C0033941,5245,1
C0033941,6531,1
C0033941,6622,1
C0033941,6648,1
C0033941,816,1
C0033941,8787,1
C0033941,9463,1
C0043459,3295,1
C0043459,5189,1
C0043459,5190,1
C0043459,5192,1
C0043459,5193,1
C0043459,5194,1
C0043459,5195,1
C0043459,55670,1
C0043459,5824,1
C0043459,5825,1
C0043459,5828,1
C0043459,5830,1
C0043459,8504,1
C0043459,8799,1
C0043459,9409,1
C0033860,100271719,1
C0033860,10318,1
C0033860,10498,1
C0033860,10547,1
C0033860,10758,1
C0033860,10866,1
C0033860,117289,1
C0033860,125893,1
C0033860,1356,1
C0033860,1401,1
C0033860,140454,1
C0033860,1437,1
C0033860,149233,1
C0033860,163702,1
C0033860,23586,1
C0033860,2524,1
C0033860,2706,1
C0033860,285626,1
C0033860,29785,1
C0033860,3107,1
C0033860,338442,1
C0033860,348,1
C0033860,353143,1
C0033860,353144,1
C0033860,3553,1
C0033860,3565,1
C0033860,3569,1
C0033860,3593,1
C0033860,3596,1
C0033860,359825,1
C0033860,400957,1
C0033860,4288,1
C0033860,4792,1
C0033860,4843,1
C0033860,503613,1
C0033860,5111,1
C0033860,51561,1
C0033860,51752,1
C0033860,5271,1
C0033860,54620,1
C0033860,5468,1
C0033860,55350,1
C0033860,55770,1
C0033860,55905,1
C0033860,57178,1
C0033860,5966,1
C0033860,5972,1
C0033860,5980,1
C0033860,6278,1
C0033860,63869,1
C0033860,63870,1
C0033860,64135,1
C0033860,643749,1
C0033860,64478,1
C0033860,65245,1
C0033860,6648,1
C0033860,6773,1
C0033860,6774,1
C0033860,7039,1
C0033860,7124,1
C0033860,7128,1
C0033860,7157,1
C0033860,7297,1
C0033860,7422,1
C0033860,7889,1
C0033860,79092,1
C0033860,81890,1
C0033860,831,1
C0033860,84648,1
C0033860,847,1
C0033860,85463,1
C0033860,864,1
C0033860,8651,1
C0033860,8875,1
C0033860,8876,1
C0033860,90134,1
C0033860,9232,1
C0033860,9692,1
C0033860,9825,1
C0033860,9844,1
C0027726,1277,1
C0027726,1282,1
C0027726,1284,1
C0027726,2,1
C0027726,213,1
C0027726,2152,1
C0027726,2247,1
C0027726,2262,1
C0027726,2981,1
C0027726,3123,1
C0027726,3291,1
C0027726,3558,1
C0027726,462,1
C0027726,4690,1
C0027726,5054,1
C0027726,6648,1
C0027726,7018,1
C0027726,7040,1
C0027726,7827,1
C0027726,8440,1
C0027726,914,1
C0338480,221692,1
C0338480,23063,1
C0338480,23245,1
C0338480,338342,1
C0338480,4035,1
C0338480,4209,1
C0338480,6863,1
C0338480,79054,1
C0338480,796,1
C0338480,79783,1
C0338480,9457,1
C0338480,9910,1
C0026636,10036,1
C0026636,2189,1
C0026636,2937,1
C0026636,3301,1
C0026636,51182,1
C0026636,54541,1
C0026636,56603,1
C0026636,5743,1
C0026636,6283,1
C0026636,672,1
C0026636,8208,1
C0026636,9518,1
C1838979,126328,1
C1838979,137682,1
C1838979,25915,1
C1838979,29078,1
C1838979,374291,1
C1838979,4535,1
C1838979,4536,1
C1838979,4537,1
C1838979,4538,1
C1838979,4540,1
C1838979,4541,1
C1838979,4570,1
C1838979,4694,1
C1838979,4709,1
C1838979,4715,1
C1838979,4719,1
C1838979,4720,1
C1838979,4722,1
C1838979,4723,1
C1838979,4724,1
C1838979,4726,1
C1838979,4728,1
C1838979,4729,1
C1838979,51103,1
C1838979,55572,1
C1838979,79133,1
C1838979,80224,1
C1838979,91942,1
C0236969,1012,1
C0236969,10160,1
C0236969,10207,1
C0236969,10257,1
C0236969,105,1
C0236969,1080,1
C0236969,11278,1
C0236969,1129,1
C0236969,1138,1
C0236969,114134,1
C0236969,114786,1
C0236969,114788,1
C0236969,121601,1
C0236969,1268,1
C0236969,140683,1
C0236969,140733,1
C0236969,143098,1
C0236969,143379,1
C0236969,143458,1
C0236969,143503,1
C0236969,147685,1
C0236969,1565,1
C0236969,1653,1
C0236969,167465,1
C0236969,1769,1
C0236969,1793,1
C0236969,1813,1
C0236969,1826,1
C0236969,1962,1
C0236969,2120,1
C0236969,2166,1
C0236969,2272,1
C0236969,22925,1
C0236969,22998,1
C0236969,23034,1
C0236969,23214,1
C0236969,23307,1
C0236969,23345,1
C0236969,253782,1
C0236969,25807,1
C0236969,259217,1
C0236969,26230,1
C0236969,27146,1
