target_gene_name,interactor_gene_name,interaction_stoichiometry
AAMP,ARGLU1,0.128617729
AAMP,CWF19L2,0.022008633
AAMP,PRPF40A,0.001582215
AAMP,RPL10,0.521148077
AAMP,RSRC1,0.013170514
AAMP,SRSF6,0.017558355
AAMP,SSRP1,0.012199468
AAMP,SUB1,0.494908049
AAMP,SUPT16H,0.00635207
AATF,EVPL,1.87675724
AATF,NGDN,0.151888898
ABCE1,ATXN10,0.009408519
ABCE1,ATXN2,0.001358579
ABCE1,CCDC124,0.002604288
ABCE1,EIF3A,0.007026187
ABCE1,EIF3E,0.055975073
ABCE1,EIF3H,0.010633689
ABCE1,EIF3J,0.227510416
ABCE1,EIF3M,0.008705425
ABCE1,ORAOV1,0.030251858
ABCE1,RPL22,0.049675696
ABCE1,RPS20,0.072464708
ABCE1,RPS4X,0.031638878
ABCE1,TSR1,0.000309466
ABCE1,YAE1D1,0.069568409
ACAP2,ACAP3,0.012475541
ACAP3,ACAP2,0.14328818
ACLY,STT3A,0.000114167
ACTB,ABI1,0.005610939
ACTB,ABI2,0.018769541
ACTB,ACTL6A,3.697494098
ACTB,ACTR10,2.495155125
ACTB,ACTR1A,9.990665837
ACTB,ACTR2,1.993845607
ACTB,ACTR3,2.050760068
ACTB,ADD1,0.365423593
ACTB,ADD2,0.117958263
ACTB,ARHGAP12,0.026482972
ACTB,ARHGAP27,0.036852913
ACTB,ARHGAP32,0.144176588
ACTB,ARID1A,0.253524899
ACTB,ARID1B,0.038098082
ACTB,ARL1,0.166285892
ACTB,ARPC1A,0.786651567
ACTB,ARPC1B,0.255906303
ACTB,ARPC2,0.803644768
ACTB,ARPC3,0.871459685
ACTB,ARPC4;ARPC4-TTLL3,0.24832493
ACTB,ARPC5L,0.756706374
ACTB,BAIAP2,1.446898391
ACTB,BAIAP2L1,4.404569295
ACTB,BCL7C,0.215915271
ACTB,BLOC1S2,0.048530314
ACTB,BRD8,0.048148169
ACTB,CAP1,18.68921682
ACTB,CAP2,0.315256983
ACTB,CAPZA1,2.355224168
ACTB,CAPZA2,0.274868069
ACTB,CAPZB,0.640976235
ACTB,CBX5,0.34948751
ACTB,CCDC101,0.000608416
ACTB,CCT2,5.94939158
ACTB,CCT3,7.191083652
ACTB,CCT4,4.934197049
ACTB,CCT5,6.487598898
ACTB,CCT6A,4.874566628
ACTB,CCT7,6.154063368
ACTB,CCT8,8.344930897
ACTB,CFL1,3.278593653
ACTB,CFL2,0.908080718
ACTB,CSRP2BP,0.106328459
ACTB,CTTN,0.674906214
ACTB,CYFIP1,0.072033843
ACTB,DCTN1;DKFZP686E0752,4.196323624
ACTB,DCTN2,21.85322753
ACTB,DCTN4,3.395644057
ACTB,DCTN5,0.173944587
ACTB,DMAP1,0.738411668
ACTB,DPF2,1.219649632
ACTB,DR1,0.523968056
ACTB,DSTN,0.366564044
ACTB,DYNC1H1,0.007912781
ACTB,DYNC1LI1,0.034143815
ACTB,ENAH,99.82024038
ACTB,EP400,0.041997691
ACTB,FAM187B,2.346075207
ACTB,FBXO30,0.358171505
ACTB,FLII,0.132262312
ACTB,GMFB,0.070560243
ACTB,GSN,4.079029247
ACTB,HIST1H2AJ;HIST1H2AH;HIST1H2AG;H2AFJ,9.781224998
ACTB,INF2,0.040962134
ACTB,KIAA0100,0.190825086
ACTB,LEO1,0.02588447
ACTB,LRRC20,0.711282484
ACTB,LRRFIP1,0.533661001
ACTB,MAP3K4,1.717189676
ACTB,MBIP,0.185556969
ACTB,MKL1;MKL1,0.68498522
ACTB,MKL2,0.569087529
ACTB,MRFAP1,0.837324207
ACTB,MTFR1,0.08366561
ACTB,MTSS1L,0.041636923
ACTB,NCKAP1,0.108858565
ACTB,PAFAH1B1,0.050882301
ACTB,PDCL3,2.722116713
ACTB,PFDN6,0.120311939
ACTB,PFN1,16.094129
ACTB,PFN2,4.726293131
ACTB,PHACTR2,0.326419544
ACTB,PHACTR4,1.655474473
ACTB,PHACTR4,0.678460715
ACTB,PHF10,0.032815154
ACTB,POTEE,0.241190751
ACTB,PXK,0.052370554
ACTB,RUVBL1,1.040642929
ACTB,RUVBL2,0.649797442
ACTB,SCIN,0.099175706
ACTB,SH3BGRL2,0.282390435
ACTB,SKP1,1.07507334
ACTB,SMARCA4,0.24030099
ACTB,SMARCB1,0.948683886
ACTB,SMARCC1,2.1664161
ACTB,SMARCC2,0.303789504
ACTB,SMARCD1,0.054566964
ACTB,SMARCD2,0.151410503
ACTB,SMARCE1,19.64960441
ACTB,SPIRE1,1.225260333
ACTB,SPTAN1,0.091154769
ACTB,SPTBN1,0.173787871
ACTB,SRCAP,0.117892575
ACTB,TADA3,0.002401874
ACTB,TCP1,8.165630048
ACTB,TMOD1,0.311082601
ACTB,TMOD2,0.306543693
ACTB,TMOD3,3.244010579
ACTB,TMSB10,12.29451507
ACTB,TWF1,4.714688528
ACTB,TWF2,0.558361585
ACTB,VASP,1.241825264
ACTB,VPS72,0.379153068
ACTB,WASF2,0.075783657
ACTB,WASL,1.914440032
ACTB,WDR1,0.43947589
ACTB,WDR44,0.002501913
ACTB,WDR5,0.284963916
ACTB,WIPF3,0.327240331
ACTB,YEATS2,0.167893248
ACTB,YEATS4,0.436091109
ACTB,YWHAE,0.987243311
ACTB,ZW10,0.003070673
ACTB,ZZZ3,0.065600234
ACTG1,ABI1,0.023165343
ACTG1,ABI2,0.003504576
ACTG1,ACTC1,0.041374547
ACTG1,ACTL6A,0.018940118
ACTG1,ACTR10,0.010398259
ACTG1,ACTR1A,0.041239711
ACTG1,ACTR1B,0.001220476
ACTG1,ADD1,0.003246829
ACTG1,ADD3,0.00279036
ACTG1,ALAS1,0.0004911
ACTG1,ARHGAP12,0.001017747
ACTG1,ARHGAP27,0.000881093
ACTG1,ARHGAP32,0.000383057
ACTG1,ARID1A,0.001970451
ACTG1,ARID1B,0.000585689
ACTG1,ARPC1B,0.003116223
ACTG1,ARPC2,0.004503966
ACTG1,ARPC3,0.01544277
ACTG1,ARPC5,0.005168379
ACTG1,ARPC5L,0.002338853
ACTG1,BAIAP2,0.102250916
ACTG1,BAIAP2L1,0.129430877
ACTG1,BCL7A,0.000974101
ACTG1,BCL7B,0.002998887
ACTG1,BCL7C,0.001731691
ACTG1,BRK1,0.020859588
ACTG1,CAP1,0.296711147
ACTG1,CAP2,0.043424204
ACTG1,CAPZA1,0.029166811
ACTG1,CAPZA2,0.022056352
ACTG1,CAPZB,0.031027907
ACTG1,CCDC53,0.001695936
ACTG1,CCT2,0.008822057
ACTG1,CCT3,0.010810261
ACTG1,CCT4,0.008000195
ACTG1,CCT5,0.008107696
ACTG1,CCT6A,0.006442152
ACTG1,CCT7,0.004592319
ACTG1,CCT8,0.011694077
ACTG1,CFL1,0.030300812
ACTG1,CFL2,0.020394623
ACTG1,CKAP2,0.007803716
ACTG1,COBL,0.001170315
ACTG1,COBLL1,4.74E-05
ACTG1,CSRP2BP,0.000568544
ACTG1,CYFIP1,0.019391822
ACTG1,CYFIP2,0.008225103
ACTG1,DCTN1;DKFZP686E0752,0.018868095
ACTG1,DCTN2,0.044036999
ACTG1,DCTN3,0.018429011
ACTG1,DCTN4,0.012904248
ACTG1,DCTN5,0.003381924
ACTG1,DLG5,9.67E-05
ACTG1,DPF2,0.006572267
ACTG1,DYNC1I2,0.000254803
ACTG1,DYNC1LI1,7.37E-05
ACTG1,ENAH,2.504304372
ACTG1,EP400,0.000439927
ACTG1,EVL,0.011376349
ACTG1,FAM21A,7.42E-05
ACTG1,FBXO30,0.002021137
ACTG1,FLII,0.005694936
ACTG1,FMN2,0.00029714
ACTG1,FMNL2,0.000190975
ACTG1,GATAD2B,0.000642878
ACTG1,GMFB,0.000579003
ACTG1,GPHN,0.003244469
ACTG1,GSN,0.038930392
ACTG1,INF2,0.014082787
ACTG1,KIAA1522,0.034102055
ACTG1,LRRFIP1,0.003368648
ACTG1,LRRFIP2,0.05739281
ACTG1,MAP3K4,0.014033782
ACTG1,MKL1;MKL1,0.015302275
ACTG1,MKL2,0.019661643
ACTG1,MNS1,0.001486833
ACTG1,MRFAP1,0.085849767
ACTG1,MTFR1,0.011625991
ACTG1,MTFR2,0.000857878
ACTG1,MYO9B,9.04E-05
ACTG1,NCKAP1,0.01378245
ACTG1,NCKIPSD,0.001734691
ACTG1,PACSIN2,0.001055521
ACTG1,PAFAH1B1,0.000394675
ACTG1,PDCL3,0.004737265
ACTG1,PFN1,0.219677085
ACTG1,PFN2,0.217864646
ACTG1,PHACTR2,0.003318759
ACTG1,PHACTR4,0.011055085
ACTG1,POTEE;POTEJ;POTEI,0.002347503
ACTG1,PRR11,0.000169102
ACTG1,PXK,0.003175633
ACTG1,SCIN,0.000332396
ACTG1,SMARCA4,0.010306782
ACTG1,SMARCB1,0.009897246
ACTG1,SMARCC1,0.008956139
ACTG1,SMARCC2,0.001361941
ACTG1,SMARCD1,0.000994481
ACTG1,SMARCD2,0.001762938
ACTG1,SMARCE1,0.007250237
ACTG1,SMC2,0.000336151
ACTG1,SPATS2L,0.00197581
ACTG1,SPIRE1,0.009243493
ACTG1,SPIRE2,0.000764489
ACTG1,SPTAN1,0.001854185
ACTG1,SPTBN1,0.001286854
ACTG1,SRCAP,0.001226941
ACTG1,SS18,0.011540583
ACTG1,STOM,0.000992881
ACTG1,TCP1,0.018645877
ACTG1,TMEM11,0.001736616
ACTG1,TMOD1,0.003686669
ACTG1,TMOD2,0.002206142
ACTG1,TUBGCP4,0.000409021
ACTG1,TWF1,0.118310868
ACTG1,TWF2,0.200090326
