target_gene_name,interactor_gene_name,pval,enrichment,interaction_stoichiometry,abundance_stoichiometry
AAMP,ARGLU1,5.495913674,2.868131152,0.128617729,0.222926887
AAMP,CWF19L2,5.480124769,2.889501923,0.022008633,0.06303631
AAMP,PRPF40A,5.321102318,3.228530758,0.001582215,0.742016855
AAMP,RPL10,15.15617348,4.847218052,0.521148077,13.14690971
AAMP,RSRC1,5.929453126,3.239392188,0.013170514,0.210925681
AAMP,SRSF6,5.386945168,2.836662853,0.017558355,0.612574106
AAMP,SSRP1,4.665205552,2.693357185,0.012199468,1.746891902
AAMP,SUB1,10.12824555,3.793874788,0.494908049,5.803748998
AAMP,SUPT16H,6.259777712,2.755307227,0.00635207,1.854561272
AATF,EVPL,3.56876938,2.84868838,1.87675724,0
AATF,NGDN,11.03004701,4.196896656,0.151888898,1.074842836
ABCE1,ATXN10,23.74619624,5.65759443,0.009408519,0.653592511
ABCE1,ATXN2,8.787248421,3.999858733,0.001358579,0.17526838
ABCE1,CCDC124,10.14560851,3.80302902,0.002604288,0.440363573
ABCE1,EIF3A,10.75059913,3.927570727,0.007026187,1.105876858
ABCE1,EIF3E,12.49227754,4.127227235,0.055975073,1.910518603
ABCE1,EIF3H,13.85315432,4.28715615,0.010633689,1.309772273
ABCE1,EIF3J,26.38474311,6.096196243,0.227510416,0.558105071
ABCE1,EIF3M,12.54442412,4.272810104,0.008705425,2.960512578
ABCE1,ORAOV1,52.63849182,9.03630436,0.030251858,0.041885889
ABCE1,RPL22,8.674501966,3.761400473,0.049675696,4.277076592
ABCE1,RPS20,9.62192464,3.765353641,0.072464708,2.821535308
ABCE1,RPS4X,10.27987963,3.841014466,0.031638878,23.71233359
ABCE1,TSR1,7.799022199,4.51285626,0.000309466,0.08169451
ABCE1,YAE1D1,57.15551955,9.471372546,0.069568409,0.065062551
ACAP2,ACAP3,17.79719134,4.791838748,0.012475541,3.993992127
ACAP3,ACAP2,64.69234349,10.7101368,0.14328818,0.250376057
ACLY,STT3A,4.8147311,2.950955537,0.000114167,0.083485466
ACTB,ABI1,9.667804061,1.589100743,0.005610939,0.001159497
ACTB,ABI2,13.28426163,3.123494218,0.018769541,0.000215929
ACTB,ACTL6A,17.95458199,3.585782067,3.697494098,0.021969861
ACTB,ACTR10,38.37266,6.120038603,2.495155125,0.005793577
ACTB,ACTR1A,27.99300168,4.898622208,9.990665837,0.022749025
ACTB,ACTR2,11.03048342,3.016355387,1.993845607,0.052307555
ACTB,ACTR3,8.88452542,2.59360708,2.050760068,0.044946249
ACTB,ADD1,29.8231438,5.257080188,0.365423593,0.012702088
ACTB,ADD2,9.887989338,2.66696749,0.117958263,0.001924259
ACTB,ARHGAP12,12.67931529,3.17111539,0.026482972,4.09E-05
ACTB,ARHGAP27,1.879555843,2.752187789,0.036852913,9.24E-05
ACTB,ARHGAP32,89.80373695,10.83356801,0.144176588,0.000130145
ACTB,ARID1A,82.65210966,9.195741133,0.253524899,0.002791808
ACTB,ARID1B,34.00934,4.812840147,0.038098082,0.002505683
ACTB,ARL1,7.06049889,2.317387808,0.166285892,0.030030835
ACTB,ARPC1A,10.61827481,2.82461127,0.786651567,0.022012286
ACTB,ARPC1B,5.057525559,1.845343613,0.255906303,0.020021277
