target_gene_name,interactor_gene_name,pval
AAMP,ARGLU1,5.495913674
AAMP,CWF19L2,5.480124769
AAMP,PRPF40A,5.321102318
AAMP,RPL10,15.15617348
AAMP,RSRC1,5.929453126
AAMP,SRSF6,5.386945168
AAMP,SSRP1,4.665205552
AAMP,SUB1,10.12824555
AAMP,SUPT16H,6.259777712
AATF,EVPL,3.56876938
AATF,NGDN,11.03004701
ABCE1,ATXN10,23.74619624
ABCE1,ATXN2,8.787248421
ABCE1,CCDC124,10.14560851
ABCE1,EIF3A,10.75059913
ABCE1,EIF3E,12.49227754
ABCE1,EIF3H,13.85315432
ABCE1,EIF3J,26.38474311
ABCE1,EIF3M,12.54442412
ABCE1,ORAOV1,52.63849182
ABCE1,RPL22,8.674501966
ABCE1,RPS20,9.62192464
ABCE1,RPS4X,10.27987963
ABCE1,TSR1,7.799022199
ABCE1,YAE1D1,57.15551955
ACAP2,ACAP3,17.79719134
ACAP3,ACAP2,64.69234349
ACLY,STT3A,4.8147311
ACTB,ABI1,9.667804061
ACTB,ABI2,13.28426163
ACTB,ACTL6A,17.95458199
ACTB,ACTR10,38.37266
ACTB,ACTR1A,27.99300168
ACTB,ACTR2,11.03048342
ACTB,ACTR3,8.88452542
ACTB,ADD1,29.8231438
ACTB,ADD2,9.887989338
ACTB,ARHGAP12,12.67931529
ACTB,ARHGAP27,1.879555843
ACTB,ARHGAP32,89.80373695
ACTB,ARID1A,82.65210966
ACTB,ARID1B,34.00934
ACTB,ARL1,7.06049889
ACTB,ARPC1A,10.61827481
ACTB,ARPC1B,5.057525559
ACTB,ARPC2,17.09051388
ACTB,ARPC3,6.13925309
ACTB,ARPC4;ARPC4-TTLL3,5.853498225
ACTB,ARPC5L,9.947621682
ACTB,BAIAP2,46.20046829
ACTB,BAIAP2L1,58.19906609
ACTB,BCL7C,46.83332804
ACTB,BLOC1S2,6.114402516
ACTB,BRD8,24.75778621
ACTB,CAP1,17.14716874
ACTB,CAP2,53.31400989
ACTB,CAPZA1,11.12872517
ACTB,CAPZA2,12.6330462
ACTB,CAPZB,12.73689845
ACTB,CBX5,9.471932701
ACTB,CCDC101,5.07185921
ACTB,CCT2,19.08037193
ACTB,CCT3,19.54935586
ACTB,CCT4,20.50031159
ACTB,CCT5,36.23588509
ACTB,CCT6A,23.8460798
ACTB,CCT7,12.55983703
ACTB,CCT8,30.23858433
ACTB,CFL1,10.08505425
ACTB,CFL2,6.91201307
ACTB,CSRP2BP,18.32483082
ACTB,CTTN,6.77479585
ACTB,CYFIP1,43.69023379
ACTB,DCTN1;DKFZP686E0752,66.94080832
ACTB,DCTN2,46.06174209
ACTB,DCTN4,89.34722011
ACTB,DCTN5,6.741888242
ACTB,DMAP1,7.608108945
ACTB,DPF2,51.96019974
ACTB,DR1,20.6697517
ACTB,DSTN,9.315370908
ACTB,DYNC1H1,11.48271674
ACTB,DYNC1LI1,21.99069266
ACTB,ENAH,16.71992401
ACTB,EP400,22.27372193
ACTB,FAM187B,6.317105541
ACTB,FBXO30,56.43132291
ACTB,FLII,10.04493723
ACTB,GMFB,7.044530182
ACTB,GSN,12.82813507
ACTB,HIST1H2AJ;HIST1H2AH;HIST1H2AG;H2AFJ,3.921636188
ACTB,INF2,28.36315393
ACTB,KIAA0100,33.87394399
ACTB,LEO1,3.821949629
ACTB,LRRC20,12.62460891
ACTB,LRRFIP1,7.478850476
ACTB,MAP3K4,94.28436321
ACTB,MBIP,67.32536612
ACTB,MKL1;MKL1,56.42708807
ACTB,MKL2,37.60955356
