target_gene_name,interactor_gene_name
AAMP,ARGLU1
AAMP,CWF19L2
AAMP,PRPF40A
AAMP,RPL10
AAMP,RSRC1
AAMP,SRSF6
AAMP,SSRP1
AAMP,SUB1
AAMP,SUPT16H
AATF,EVPL
AATF,NGDN
ABCE1,ATXN10
ABCE1,ATXN2
ABCE1,CCDC124
ABCE1,EIF3A
ABCE1,EIF3E
ABCE1,EIF3H
ABCE1,EIF3J
ABCE1,EIF3M
ABCE1,ORAOV1
ABCE1,RPL22
ABCE1,RPS20
ABCE1,RPS4X
ABCE1,TSR1
ABCE1,YAE1D1
ACAP2,ACAP3
ACAP3,ACAP2
ACLY,STT3A
ACTB,ABI1
ACTB,ABI2
ACTB,ACTL6A
ACTB,ACTR10
ACTB,ACTR1A
ACTB,ACTR2
ACTB,ACTR3
ACTB,ADD1
ACTB,ADD2
ACTB,ARHGAP12
ACTB,ARHGAP27
ACTB,ARHGAP32
ACTB,ARID1A
ACTB,ARID1B
ACTB,ARL1
ACTB,ARPC1A
ACTB,ARPC1B
ACTB,ARPC2
ACTB,ARPC3
ACTB,ARPC4;ARPC4-TTLL3
ACTB,ARPC5L
ACTB,BAIAP2
ACTB,BAIAP2L1
ACTB,BCL7C
ACTB,BLOC1S2
ACTB,BRD8
ACTB,CAP1
ACTB,CAP2
ACTB,CAPZA1
ACTB,CAPZA2
ACTB,CAPZB
ACTB,CBX5
ACTB,CCDC101
ACTB,CCT2
ACTB,CCT3
ACTB,CCT4
ACTB,CCT5
ACTB,CCT6A
ACTB,CCT7
ACTB,CCT8
ACTB,CFL1
ACTB,CFL2
ACTB,CSRP2BP
ACTB,CTTN
ACTB,CYFIP1
ACTB,DCTN1;DKFZP686E0752
ACTB,DCTN2
ACTB,DCTN4
ACTB,DCTN5
ACTB,DMAP1
ACTB,DPF2
ACTB,DR1
ACTB,DSTN
ACTB,DYNC1H1
ACTB,DYNC1LI1
ACTB,ENAH
ACTB,EP400
ACTB,FAM187B
ACTB,FBXO30
ACTB,FLII
ACTB,GMFB
ACTB,GSN
ACTB,HIST1H2AJ;HIST1H2AH;HIST1H2AG;H2AFJ
ACTB,INF2
ACTB,KIAA0100
ACTB,LEO1
ACTB,LRRC20
ACTB,LRRFIP1
ACTB,MAP3K4
ACTB,MBIP
ACTB,MKL1;MKL1
ACTB,MKL2
ACTB,MRFAP1
ACTB,MTFR1
ACTB,MTSS1L
ACTB,NCKAP1
ACTB,PAFAH1B1
ACTB,PDCL3
ACTB,PFDN6
ACTB,PFN1
ACTB,PFN2
ACTB,PHACTR2
ACTB,PHACTR4
ACTB,PHACTR4
ACTB,PHF10
ACTB,POTEE
ACTB,PXK
ACTB,RUVBL1
ACTB,RUVBL2
ACTB,SCIN
ACTB,SH3BGRL2
ACTB,SKP1
ACTB,SMARCA4
ACTB,SMARCB1
ACTB,SMARCC1
ACTB,SMARCC2
ACTB,SMARCD1
ACTB,SMARCD2
ACTB,SMARCE1
ACTB,SPIRE1
ACTB,SPTAN1
ACTB,SPTBN1
ACTB,SRCAP
ACTB,TADA3
ACTB,TCP1
ACTB,TMOD1
ACTB,TMOD2
ACTB,TMOD3
ACTB,TMSB10
ACTB,TWF1
ACTB,TWF2
ACTB,VASP
ACTB,VPS72
ACTB,WASF2
ACTB,WASL
ACTB,WDR1
ACTB,WDR44
ACTB,WDR5
ACTB,WIPF3
ACTB,YEATS2
ACTB,YEATS4
ACTB,YWHAE
ACTB,ZW10
ACTB,ZZZ3
ACTG1,ABI1
ACTG1,ABI2
ACTG1,ACTC1
ACTG1,ACTL6A
ACTG1,ACTR10
ACTG1,ACTR1A
ACTG1,ACTR1B
ACTG1,ADD1
ACTG1,ADD3
ACTG1,ALAS1
ACTG1,ARHGAP12
ACTG1,ARHGAP27
ACTG1,ARHGAP32
ACTG1,ARID1A
ACTG1,ARID1B
ACTG1,ARPC1B
ACTG1,ARPC2
ACTG1,ARPC3
ACTG1,ARPC5
ACTG1,ARPC5L
ACTG1,BAIAP2
ACTG1,BAIAP2L1
ACTG1,BCL7A
ACTG1,BCL7B
ACTG1,BCL7C
ACTG1,BRK1
ACTG1,CAP1
ACTG1,CAP2
ACTG1,CAPZA1
ACTG1,CAPZA2
ACTG1,CAPZB
ACTG1,CCDC53
ACTG1,CCT2
ACTG1,CCT3
ACTG1,CCT4
ACTG1,CCT5
ACTG1,CCT6A
ACTG1,CCT7
ACTG1,CCT8
ACTG1,CFL1
ACTG1,CFL2
ACTG1,CKAP2
ACTG1,COBL
ACTG1,COBLL1
ACTG1,CSRP2BP
ACTG1,CYFIP1
ACTG1,CYFIP2
ACTG1,DCTN1;DKFZP686E0752
ACTG1,DCTN2
ACTG1,DCTN3
ACTG1,DCTN4
ACTG1,DCTN5
ACTG1,DLG5
ACTG1,DPF2
ACTG1,DYNC1I2
ACTG1,DYNC1LI1
ACTG1,ENAH
ACTG1,EP400
ACTG1,EVL
ACTG1,FAM21A
ACTG1,FBXO30
ACTG1,FLII
ACTG1,FMN2
ACTG1,FMNL2
ACTG1,GATAD2B
ACTG1,GMFB
ACTG1,GPHN
ACTG1,GSN
ACTG1,INF2
ACTG1,KIAA1522
ACTG1,LRRFIP1
ACTG1,LRRFIP2
ACTG1,MAP3K4
ACTG1,MKL1;MKL1
ACTG1,MKL2
ACTG1,MNS1
ACTG1,MRFAP1
ACTG1,MTFR1
ACTG1,MTFR2
ACTG1,MYO9B
ACTG1,NCKAP1
ACTG1,NCKIPSD
ACTG1,PACSIN2
ACTG1,PAFAH1B1
ACTG1,PDCL3
ACTG1,PFN1
ACTG1,PFN2
ACTG1,PHACTR2
ACTG1,PHACTR4
ACTG1,POTEE;POTEJ;POTEI
ACTG1,PRR11
ACTG1,PXK
ACTG1,SCIN
ACTG1,SMARCA4
ACTG1,SMARCB1
ACTG1,SMARCC1
ACTG1,SMARCC2
ACTG1,SMARCD1
ACTG1,SMARCD2
ACTG1,SMARCE1
ACTG1,SMC2
ACTG1,SPATS2L
ACTG1,SPIRE1
ACTG1,SPIRE2
ACTG1,SPTAN1
ACTG1,SPTBN1
ACTG1,SRCAP
ACTG1,SS18
ACTG1,STOM
ACTG1,TCP1
ACTG1,TMEM11
ACTG1,TMOD1
ACTG1,TMOD2
ACTG1,TUBGCP4
ACTG1,TWF1
ACTG1,TWF2
ACTG1,UNNAMED
ACTG1,VASP
ACTG1,WASF1
ACTG1,WASF2
ACTG1,WASF3
ACTG1,WASH3P;WASH2P;WASH6P;WASH1;WASH4P
ACTG1,WASL
ACTG1,WDR1
ACTG1,WDR44
ACTG1,WHAMM;WHAMMP3
ACTG1,WIPF2
ACTG1,WIPF3
ACTN1,ACTN4
ACTN1,CAAP1
ACTN1,RELA
ACTN1,TOP3B
ACTN2,NME2;NME1-NME2;NME1
ACTN2,SUMO3;SUMO2;SUMO4
ACTN4,ACTN1
ACTN4,ACTR2
ACTN4,AIF1L
ACTN4,ARPC1A
ACTN4,ARPC1B
ACTN4,ARPC2
ACTN4,ARPC4-TTLL3;ARPC4
ACTN4,ARPC5
ACTN4,ARPC5L
ACTN4,CAPZA1
ACTN4,CAPZA2
ACTN4,CAPZB
ACTN4,CTTN
ACTN4,LMO7
ACTN4,MYO1B
ACTN4,PDLIM1
ACTN4,PPP1R12A
ACTN4,PPP1R9B
ACTN4,SPECC1L;SPECC1L-ADORA2A
ACTN4,UNNAMED
ACTR2,ACTR3
ACTR2,ACTR3B
ACTR2,ANGPT1
ACTR2,ANP32A
ACTR2,APPL1
ACTR2,ARL1
ACTR2,ARPC1A
ACTR2,ARPC1B
ACTR2,ARPC2
ACTR2,ARPC3
ACTR2,ARPC4-TTLL3;ARPC4
ACTR2,ARPC5
ACTR2,ARPC5L
ACTR2,ATIC
ACTR2,BAIAP2
ACTR2,CEP85L
ACTR2,CHURC1;CHURC1-FNTB
ACTR2,CLASP1
ACTR2,CLEC16A
ACTR2,CRTC2
ACTR2,EIF2B1
ACTR2,ESD
ACTR2,GAPDH
ACTR2,HSP90AB2P
ACTR2,KLC2
ACTR2,MARK2
ACTR2,MNDA
ACTR2,MTHFD1
ACTR2,NCKIPSD
ACTR2,NDUFA10
ACTR2,NME2
ACTR2,PAICS
ACTR2,PFN1
ACTR2,PPIA
ACTR2,PRDX2
ACTR2,PSMA4
ACTR2,RANBP1
ACTR2,SYDE2
ACTR2,TBC1D4
ACTR2,TRAPPC4
ACTR2,TRAPPC8
ACTR2,UNNAMED
ACTR2,UPF2
ACTR2,YWHAB
ACTR2,YWHAE
ACTR2,YWHAG
ACTR2,YWHAH
ACTR2,YWHAQ
ACTR2,YWHAZ
ACTR5,INO80C
AGAP1,AGAP3
AGAP1,TANC1
AGAP3,AGAP1
AGAP3,AHCYL1
AGAP3,C12ORF57
AGAP3,DCTN1;DKFZP686E0752
AGAP3,TANC1
AGAP3,UBE2O
AGO1,AGO2
AGO1,TNRC6A
AGO1,TNRC6B
AGO1,TNRC6C
AGO2,AGO1
AGO2,AGO3
AGO2,CNDP2
AGO2,COPS6
AGO2,FKBP5
AGO2,NELFA
AGO2,TNRC6A
AGO2,TNRC6B
AGO2,TNRC6C
AGPAT6,CHP1
AGPAT6,MSH6
AGPAT6,TMEM120B
AHCY,ANKRD40
AHCY,C1ORF50
AHCY,ENO2
AHCY,ERLIN2
AHCY,GAK
AHSA1,AP2M1
AHSA1,APLP2
AHSA1,ECT2
AHSA1,FKBP5
AHSA1,GDAP2
AHSA1,HSP90AA1
AHSA1,HSP90AB1
AHSA1,HSP90AB2P
AHSA1,HSP90B1
AHSA1,KPNB1
AHSA1,RICTOR
AHSA1,RNF219
AHSA1,TOMM40
AKAP12,ACADM
AKAP12,FHL1
AKAP12,GAPDH
AKAP12,HSPA12A
AKAP12,LDHA
AKAP12,ORC4
AKAP12,PRKACA
AKAP12,PRKAR2A
AKAP12,TRAP1
AKAP13,ARHGEF18
AKAP8L,HSPD1
AKR1A1,PRKAA1
AKT1,GPHN
AKT1,RPS6KB2;RPS6KB1
AKT1,VASP
AKT1S1,MTOR
AKT1S1,RPTOR
